C,Average Error,STD Error
0.01,0.6672415499229589,0.014462563558267584
0.1,0.6356700924054123,0.02052900654593367
1.0,0.4189108318372196,0.04386611486445402
10.0,0.3279661855553506,0.013311324626988755
100.0,0.4594353892477976,0.19576846745044782
