Selection Ranking,Processing,Classifier,Run,Accuracy,Specificity,F1-Score,Sensitivity,Auc
KW,Natural,Euclidean_MDC,1,0.7797705634131343,0.8083177765443489,0.7975237825082325,0.758412589949043,0.9264117258186262
KW,Natural,Euclidean_MDC,2,0.7797069488326723,0.8082127134652144,0.7974670953737057,0.7583676175112002,0.9264048398304471
KW,Natural,Euclidean_MDC,3,0.7797323946648571,0.8083167731046504,0.797472304292153,0.758330659282423,0.9264554730853292
KW,Natural,Euclidean_MDC,4,0.7796687800843953,0.8082052747919057,0.7974185766816456,0.7583008632388153,0.9263959396959831
KW,Natural,Euclidean_MDC,5,0.7796815030004877,0.8081863257589088,0.7974443312886708,0.7583402834402355,0.9264396598661462
KW,Natural,Mahalanobis_MDC,1,0.9733666956466422,0.9396451166225429,0.9772163551919253,0.9986059034778215,0.9075508851244156
KW,Natural,Mahalanobis_MDC,2,0.97357026230412,0.9401146070962764,0.9773849444819434,0.9986131925551124,0.907513193677571
KW,Natural,Mahalanobis_MDC,3,0.9735957081363049,0.9402085245888342,0.9774055898261782,0.9985910243419622,0.907642104963145
KW,Natural,Mahalanobis_MDC,4,0.9733963824508578,0.9396973944615661,0.9772397797163972,0.9986212279684826,0.907568102821119
KW,Natural,Mahalanobis_MDC,5,0.9733921414788268,0.9397317652198935,0.9772395835340975,0.9985760968169967,0.9075791591470496
KW,Natural,LDA_Fisher_MDC,1,0.9743718060179394,0.9401405274760322,0.978085197282579,1.0,0.994798886037456
KW,Natural,LDA_Fisher_MDC,2,0.9742318539409233,0.9398215603869474,0.9779669265876091,1.0,0.9947965741172904
KW,Natural,LDA_Fisher_MDC,3,0.9744311796263704,0.9402582754680882,0.9781393602225567,1.0,0.994794669755882
KW,Natural,LDA_Fisher_MDC,4,0.9746262643397866,0.9407097601889948,0.9783046330529748,1.0,0.9948185396444706
KW,Natural,LDA_Fisher_MDC,5,0.9743378782416929,0.9400515552364992,0.9780587959968701,1.0,0.9948103440456824
KW,Natural,Bayes_Classifier,1,0.9932823003032295,0.992738065768734,0.9941249628494864,0.9936910054402022,0.9947274935257889
KW,Natural,Bayes_Classifier,2,0.9931635530863673,0.9927384484735269,0.9940201412615073,0.993482938417263,0.9947421410381065
