K,Average Error,STD Error
1,1.2126266981438794,0.026452964595407767
3,0.786836115862537,0.006037449357230226
5,0.7427303184947465,0.009777699128228672
7,0.733682975444947,0.011553918908494009
9,0.7198292313999333,0.0077634856120386755
11,0.7246356323951431,0.012757335187299225
13,0.719546501929631,0.017267342184201662
15,0.7172846661671795,0.009317212317552667
