K,Average Error,STD Error
1,0.2926250017670573,0.024857693368957566
3,0.334751692842703,0.02112728954864545
5,0.3808365965026361,0.020043904352353453
7,0.40713043724112774,0.015918447544082122
9,0.4221150991673617,0.016083306411824986
11,0.4416234326184987,0.013925682134071186
13,0.45321534090106086,0.012567953050450546
15,0.46565543759453654,0.010676547640480667
