K,Average Error,STD Error
1,0.29639472803780764,0.02372046150620043
3,0.33974658015144915,0.020946588417414248
5,0.3934651795096518,0.01047329420870371
7,0.41419867399878535,0.011010730945732553
9,0.4297487948656327,0.012853052957099974
11,0.4438852683809502,0.013311324626986006
13,0.4537807998416743,0.013311324626986006
15,0.4665036260054545,0.012696620520793766
