K,Average Error,STD Error
1,1.233171706319473,0.010473294208707873
3,0.7864591432354628,0.007420713584687365
5,0.7426360753379768,0.0035262560367677917
7,0.73415419122879,0.00866319678011
9,0.7176616387942499,0.0037103567923453275
11,0.7204889334973171,0.001763128018381423
13,0.7129494809558157,0.009400725362840034
15,0.7148343440911901,0.004664798266211476
