K,Average Error,STD Error
1,0.22382749732584953,0.013770470034163308
3,0.23136694986735465,0.015713474415838664
5,0.2535140917080181,0.02160410030553195
7,0.2709490757102399,0.01575580985246019
9,0.29074013863168435,0.016173070302316676
11,0.3072326910662208,0.01840759692637571
13,0.3190130856623193,0.017669021105053615
15,0.33739050123222647,0.018659193064855622
